borrower_id,missed_emi_count,avg_delay_days,max_delay_days,emi_income_ratio,risk_level,risk_score,recommended_action,explanation,human_decision
1,1,5.75,63,0.5667172739401014,MEDIUM,0.0011809462326101,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
2,3,12.625,90,0.3574497921297543,HIGH,0.967794539720079,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.97), 3 missed EMIs, severe payment delay (90 days)",APPROVED_ESCALATION
3,4,15.791666666666666,82,0.3016093229744728,HIGH,0.9998226754025504,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (82 days)",APPROVED_ESCALATION
4,4,12.291666666666666,81,1.0933334240797397,HIGH,0.9998799432703552,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, EMI exceeds income, severe payment delay (81 days)",APPROVED_ESCALATION
5,3,8.791666666666666,76,1.215801414466008,HIGH,0.9803151480303972,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.98), 3 missed EMIs, EMI exceeds income, severe payment delay (76 days)",APPROVED_ESCALATION
6,3,9.666666666666666,80,0.6705921328732712,HIGH,0.9617902411659522,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, high EMI burden, severe payment delay (80 days)",APPROVED_ESCALATION
7,3,10.5,77,0.8008344734942187,HIGH,0.9751112126622976,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.98), 3 missed EMIs, high EMI burden, severe payment delay (77 days)",APPROVED_ESCALATION
8,2,8.375,62,0.3794782365195188,MEDIUM,0.1296013136292992,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
9,3,9.375,75,0.6555743675317959,HIGH,0.9594223734597596,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, high EMI burden, severe payment delay (75 days)",APPROVED_ESCALATION
10,2,8.041666666666666,79,0.3934599549849087,MEDIUM,0.1102749726225773,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
11,3,9.791666666666666,90,0.4930400580427823,HIGH,0.9478881345306868,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.95), 3 missed EMIs, severe payment delay (90 days)",APPROVED_ESCALATION
12,2,8.541666666666666,84,0.3029003475539115,MEDIUM,0.1050748558421885,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
13,3,9.416666666666666,84,0.5503148596891075,HIGH,0.9498068525958848,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.95), 3 missed EMIs, severe payment delay (84 days)",APPROVED_ESCALATION
14,3,10.333333333333334,81,0.3815859866022101,HIGH,0.9489983551710288,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.95), 3 missed EMIs, severe payment delay (81 days)",APPROVED_ESCALATION
15,1,4.958333333333333,76,0.6928897813829699,MEDIUM,0.0010782297201183,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
16,4,13.291666666666666,83,0.2722028985507246,HIGH,0.9996466632486196,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (83 days)",APPROVED_ESCALATION
17,6,19.75,85,0.3833846750410731,HIGH,0.9999999922704476,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 6 missed EMIs, severe payment delay (85 days)",APPROVED_ESCALATION
18,2,12.041666666666666,80,0.4986809103002514,MEDIUM,0.2870792977574158,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
19,4,14.875,87,0.6995355219202478,HIGH,0.9998776168753812,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, high EMI burden, severe payment delay (87 days)",APPROVED_ESCALATION
20,3,10.333333333333334,89,0.3453043348252654,HIGH,0.9431174661854886,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.94), 3 missed EMIs, severe payment delay (89 days)",APPROVED_ESCALATION
21,3,9.416666666666666,88,0.3827277678301707,HIGH,0.9335505137560726,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.93), 3 missed EMIs, severe payment delay (88 days)",APPROVED_ESCALATION
22,1,6.375,86,0.3961320549061981,MEDIUM,0.0008934078363336,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
23,1,6.791666666666667,76,0.4274524954212454,MEDIUM,0.0011213872529573,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
24,5,18.416666666666668,84,0.3246468225793893,HIGH,0.9999989737873514,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 5 missed EMIs, severe payment delay (84 days)",APPROVED_ESCALATION
25,2,11.708333333333334,77,0.4270342226413001,MEDIUM,0.2519854790102012,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
26,3,10.75,89,0.4378798412572016,HIGH,0.9553336032697096,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (89 days)",APPROVED_ESCALATION
27,4,13.333333333333334,88,0.4258550582106868,HIGH,0.9997169440791152,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (88 days)",APPROVED_ESCALATION
28,2,9.791666666666666,83,0.5351774628187423,MEDIUM,0.1909171123757304,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
29,2,10.833333333333334,87,1.006764283014,HIGH,0.3893406640343914,SEND_REMINDER,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
30,2,9.166666666666666,86,0.5305408459062949,MEDIUM,0.1635959978937523,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
31,5,20.291666666666668,83,0.3958709834633116,HIGH,0.999999435678963,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 5 missed EMIs, severe payment delay (83 days)",APPROVED_ESCALATION
32,3,8.041666666666666,68,0.6748418218805282,HIGH,0.948102901711318,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.95), 3 missed EMIs, high EMI burden, severe payment delay (68 days)",APPROVED_ESCALATION
33,3,10.625,89,0.5404147385185737,HIGH,0.9606776865187212,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (89 days)",APPROVED_ESCALATION
34,4,12.25,79,0.5223864814532505,HIGH,0.9997006544054496,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (79 days)",APPROVED_ESCALATION
35,3,10.541666666666666,89,0.5464177100477933,HIGH,0.9602398904422028,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (89 days)",APPROVED_ESCALATION
36,2,7.791666666666667,63,0.4263224147846431,MEDIUM,0.1208332892569973,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
37,5,16.166666666666668,90,0.6313665999721833,HIGH,0.9999988410907368,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 5 missed EMIs, high EMI burden, severe payment delay (90 days)",APPROVED_ESCALATION
38,1,7.333333333333333,82,0.641613142623633,MEDIUM,0.0017383671572204,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
39,1,8.666666666666666,78,0.548237801941,MEDIUM,0.0021593033298841,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
40,5,15.458333333333334,85,0.5052791296969668,HIGH,0.9999983604436734,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 5 missed EMIs, severe payment delay (85 days)",APPROVED_ESCALATION
41,3,12.208333333333334,88,0.6083685945000417,HIGH,0.9762117741721418,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.98), 3 missed EMIs, high EMI burden, severe payment delay (88 days)",APPROVED_ESCALATION
42,1,4.5,64,0.3689677989065183,MEDIUM,0.0006214842913878,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
43,2,6.458333333333333,81,0.3546530637343695,MEDIUM,0.0713012899814762,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
44,4,14.041666666666666,88,0.4155062913122959,HIGH,0.9997595925416736,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (88 days)",APPROVED_ESCALATION
45,3,8.791666666666666,76,0.8532605891649497,HIGH,0.9652912157938008,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.97), 3 missed EMIs, high EMI burden, severe payment delay (76 days)",APPROVED_ESCALATION
46,3,10.125,82,0.3866367038052405,HIGH,0.946424491303682,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.95), 3 missed EMIs, severe payment delay (82 days)",APPROVED_ESCALATION
47,3,10.75,82,0.970923279105024,HIGH,0.9814639970568274,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.98), 3 missed EMIs, high EMI burden, severe payment delay (82 days)",APPROVED_ESCALATION
48,3,16.541666666666668,87,0.4142371735248534,HIGH,0.9891289810687792,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.99), 3 missed EMIs, severe payment delay (87 days)",APPROVED_ESCALATION
49,4,11.75,75,0.3412797766307185,HIGH,0.9995581319983398,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (75 days)",APPROVED_ESCALATION
50,4,15.458333333333334,89,0.6530700972118741,HIGH,0.9998846614203228,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, high EMI burden, severe payment delay (89 days)",APPROVED_ESCALATION
51,7,22.58333333333333,90,0.4057082189467693,HIGH,0.9999999999566144,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 7 missed EMIs, severe payment delay (90 days)",APPROVED_ESCALATION
52,2,9.833333333333334,80,0.323701357232996,MEDIUM,0.1478056254085111,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
53,3,11.75,85,1.1890074845399203,HIGH,0.9895689572559572,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.99), 3 missed EMIs, EMI exceeds income, severe payment delay (85 days)",APPROVED_ESCALATION
54,1,5.5,77,0.754550485881779,MEDIUM,0.0013561248222535,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
55,3,11.458333333333334,90,0.8813577597045978,HIGH,0.9810782607573268,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.98), 3 missed EMIs, high EMI burden, severe payment delay (90 days)",APPROVED_ESCALATION
56,4,11.375,72,0.3957417985399169,HIGH,0.9995641089905044,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (72 days)",APPROVED_ESCALATION
57,0,4.916666666666667,26,0.2713832626024093,LOW,2.84014670704179e-06,MONITOR,Decision made because ,AUTO_APPROVED
58,3,9.333333333333334,82,0.8690701560154243,HIGH,0.9691024331299138,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.97), 3 missed EMIs, high EMI burden, severe payment delay (82 days)",APPROVED_ESCALATION
59,3,11.875,64,0.4375675836808618,HIGH,0.971431117862112,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.97), 3 missed EMIs, severe payment delay (64 days)",APPROVED_ESCALATION
60,4,13.458333333333334,90,0.5178872421753568,HIGH,0.9997600824768584,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (90 days)",APPROVED_ESCALATION
61,3,10.583333333333334,89,0.5007445169534382,HIGH,0.957771395477117,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (89 days)",APPROVED_ESCALATION
62,3,10.708333333333334,82,0.2218485867490684,HIGH,0.9401957904947602,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.94), 3 missed EMIs, severe payment delay (82 days)",APPROVED_ESCALATION
63,3,11.166666666666666,74,0.4414986202504776,HIGH,0.9637880713254556,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (74 days)",APPROVED_ESCALATION
64,4,13.208333333333334,84,0.5616308290477576,HIGH,0.9997716788787996,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (84 days)",APPROVED_ESCALATION
65,2,8.708333333333334,79,1.4131463225539989,HIGH,0.4304664914152021,SEND_REMINDER,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
66,4,15.916666666666666,85,0.3757178611674472,HIGH,0.9998442045330244,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (85 days)",APPROVED_ESCALATION
67,4,12.083333333333334,78,0.6089090643808325,HIGH,0.9997301656111744,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, high EMI burden, severe payment delay (78 days)",APPROVED_ESCALATION
68,3,8.958333333333334,78,0.3733828370651682,HIGH,0.9297190534500837,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.93), 3 missed EMIs, severe payment delay (78 days)",APPROVED_ESCALATION
69,0,5.083333333333333,27,1.1822530019874695,MEDIUM,1.985404253852571e-05,MONITOR,Decision made because ,AUTO_APPROVED
70,8,26.70833333333333,86,0.3852090593171187,HIGH,0.9999999999998236,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 8 missed EMIs, severe payment delay (86 days)",APPROVED_ESCALATION
71,3,9.958333333333334,86,0.3671160406000846,HIGH,0.940997451164702,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.94), 3 missed EMIs, severe payment delay (86 days)",APPROVED_ESCALATION
72,2,11.75,90,0.4572512054833257,MEDIUM,0.2457142119479887,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
73,3,12.958333333333334,90,0.3784689030513473,HIGH,0.9712893978976452,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.97), 3 missed EMIs, severe payment delay (90 days)",APPROVED_ESCALATION
74,1,7.541666666666667,66,0.5782518489207013,MEDIUM,0.0018552756948999,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
75,2,10.583333333333334,83,0.7707714586327006,MEDIUM,0.296438357074489,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
76,1,8.375,79,0.3050480923368853,MEDIUM,0.0013479194852358,MONITOR,"Decision made because 1 missed EMIs, occasional payment delays",AUTO_APPROVED
77,4,14.75,87,0.3683404896966771,HIGH,0.9997849132149093,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (87 days)",APPROVED_ESCALATION
78,4,12.625,80,0.3879223479826792,HIGH,0.9996598176082856,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, severe payment delay (80 days)",APPROVED_ESCALATION
79,3,9.625,87,0.2904422627454411,HIGH,0.927863231274628,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.93), 3 missed EMIs, severe payment delay (87 days)",APPROVED_ESCALATION
80,4,13.75,90,0.6203655051129452,HIGH,0.9998110357655452,ESCALATE_TO_OFFICER,"Decision made because high risk score (1.00), 4 missed EMIs, high EMI burden, severe payment delay (90 days)",APPROVED_ESCALATION
81,0,3.208333333333333,26,0.3805827716809239,LOW,1.147329537340031e-06,MONITOR,Decision made because ,AUTO_APPROVED
82,3,11.666666666666666,87,0.4219488453664854,HIGH,0.963890350197136,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.96), 3 missed EMIs, severe payment delay (87 days)",APPROVED_ESCALATION
83,2,9.0,73,0.6017200292933057,MEDIUM,0.187401659983525,MONITOR,"Decision made because 2 missed EMIs, occasional payment delays",AUTO_APPROVED
84,3,10.5,86,0.3112917249980034,HIGH,0.9436027965095252,ESCALATE_TO_OFFICER,"Decision made because high risk score (0.94), 3 missed EMIs, severe payment delay (86 days)",APPROVED_ESCALATION
